id,subject,status,priority,type,created_at,updated_at,custom_fields.cf_sgdb,custom_fields.cf_ambiente,custom_fields.cf_csi_status
56271,INFO: Database Checklist on Server: SES-SQL-PRD\BI,5,1,Checklist,2026-01-05T10:04:43Z,2026-01-05T11:44:10Z,Sql Server,Produção,
56270,Mills - Checklist Oracle - SMAWSECCVBQ01 (ECQ),5,1,Checklist,2026-01-05T10:03:52Z,2026-01-05T11:34:31Z,Sql Server,Produção,
56269,Mills - Checklist Oracle - SMAWSECCVBD01 (ECD),5,1,Checklist,2026-01-05T10:00:13Z,2026-01-05T11:36:38Z,Sql Server,Produção,
56268,Mills - Checklist Oracle - (MCQ),5,1,Checklist,2026-01-05T10:00:13Z,2026-01-05T11:38:58Z,Sql Server,Produção,
56264,Mills - Checklist Oracle - (GRP),5,1,Checklist,2026-01-05T10:00:04Z,2026-01-05T11:36:18Z,Sql Server,Produção,
56265,Mills - Checklist Oracle - (GWP),5,1,Checklist,2026-01-05T10:00:04Z,2026-01-05T11:39:33Z,Sql Server,Produção,
56267,Mills - Checklist Oracle - (POD),5,1,Checklist,2026-01-05T10:00:04Z,2026-01-05T11:39:33Z,Sql Server,Produção,
56266,Mills - Checklist Oracle - (GRD),5,1,Checklist,2026-01-05T10:00:04Z,2026-01-05T11:39:33Z,Sql Server,Produção,
56263,Mills - Checklist Oracle - (POP),5,1,Checklist,2026-01-05T10:00:04Z,2026-01-05T11:36:00Z,Sql Server,Produção,
56262,INFO: Database Checklist on Server: SRVBD,5,1,Checklist,2026-01-05T09:56:09Z,2026-01-05T11:44:30Z,Sql Server,Produção,
56261,INFO: Database Checklist on Server: SES-CLO-BD-SER,5,1,Checklist,2026-01-05T09:55:36Z,2026-01-05T11:44:53Z,Sql Server,Produção,
56260,INFO: Database Checklist on Server: SES-SQL-PRD,5,1,Checklist,2026-01-05T09:55:34Z,2026-01-05T11:45:12Z,Sql Server,Produção,
56259,INFO: Database Checklist on Server: CALIFORNIA,5,1,Checklist,2026-01-05T09:55:32Z,2026-01-05T11:45:35Z,Sql Server,Produção,
56258,INFO: Database Checklist on Server: SRVBDADM,5,1,Checklist,2026-01-05T09:55:31Z,2026-01-05T11:47:06Z,Sql Server,Produção,
56257,INFO: Database Checklist on Server: SRVBDADM\BI,5,1,Checklist,2026-01-05T09:55:29Z,2026-01-05T11:47:27Z,Sql Server,Produção,
56256,INFO: Database Checklist on Server: SRVBDCD,5,1,Checklist,2026-01-05T09:55:28Z,2026-01-05T11:48:35Z,Sql Server,Produção,
56255,INFO: Database Checklist on Server: SRVBDADM\PACK,5,1,Checklist,2026-01-05T09:55:27Z,2026-01-05T11:46:32Z,Sql Server,Produção,
56254,INFO: Database Checklist on Server: SRVBDADM\BIMER,5,1,Checklist,2026-01-05T09:55:25Z,2026-01-05T11:46:02Z,Sql Server,Produção,
56253,INFO Engeman: Database Checklist on Server: SMLSAWSSQLVP01,5,1,Checklist,2026-01-05T09:55:11Z,2026-01-05T11:30:59Z,Sql Server,Produção,
56252,Mills - Checklist Oracle - SMAWSBWVBP02 (BP1),5,1,Checklist,2026-01-05T09:51:32Z,2026-01-05T11:35:13Z,Sql Server,Produção,
56205,SNCBDO01 - Health Check Diário,5,1,Checklist,2026-01-02T11:03:18Z,2026-01-02T12:46:13Z,Sql Server,Produção,
56203,Mills - Checklist Oracle - SMAWSMCPVBP01 (MCP),5,1,Checklist,2026-01-02T11:00:07Z,2026-01-02T12:48:59Z,Sql Server,Produção,
56199,Mills - Checklist Oracle - SAP (ECP),5,1,Checklist,2026-01-02T10:13:27Z,2026-01-02T12:50:15Z,Sql Server,Produção,
56198,Mills - Checklist Oracle - SMAWSECCVBQ01 (ECQ),5,1,Checklist,2026-01-02T10:03:47Z,2026-01-02T12:50:42Z,Sql Server,Produção,
56196,Mills - Checklist Oracle - (MCQ),5,1,Checklist,2026-01-02T10:00:14Z,2026-01-02T12:51:24Z,Sql Server,Produção,
56195,Mills - Checklist Oracle - SMAWSECCVBD01 (ECD),5,1,Checklist,2026-01-02T10:00:10Z,2026-01-02T13:08:46Z,Sql Server,Produção,
56194,Mills - Checklist Oracle - (GWP),5,1,Checklist,2026-01-02T10:00:04Z,2026-01-02T13:09:05Z,Sql Server,Produção,
56193,Mills - Checklist Oracle - (POD),5,1,Checklist,2026-01-02T10:00:03Z,2026-01-02T13:09:22Z,Sql Server,Produção,
56190,Mills - Checklist Oracle - (POP),5,1,Checklist,2026-01-02T10:00:03Z,2026-01-02T13:09:43Z,Sql Server,Produção,
